title,author,genre,plot
위대한 개츠비,F. 스콧 피츠제럴드,"소설, 비극, 모더니즘","1920년대 미국을 배경으로, 미스터리한 백만장자 개츠비의 무모한 사랑과 꿈, 그리고 좌절을 통해 아메리칸 드림의 허상을 그려낸 소설."
호밀밭의 파수꾼,J.D. 샐린저,"성장 소설, 리얼리즘","퇴학당한 고등학생 홀든 콜필드가 집으로 돌아가기 전 며칠간 뉴욕을 방황하며 겪는 경험과 위선적인 세상에 대한 환멸, 순수에 대한 갈망을 독백체로 이야기한다."
이방인,알베르 카뮈,"철학 소설, 부조리주의","평범한 회사원 뫼르소가 어머니의 죽음에도 슬픔을 느끼지 않고, 우발적 살인을 저지른 후에도 사회의 기대와 관습을 거부하며 부조리한 세상과 마주하는 과정을 담담하게 그린다."
죄와 벌,표도르 도스토옙스키,"심리 소설, 철학 소설","가난한 대학생 라스콜니코프가 비범한 인간은 도덕률을 넘어설 수 있다는 초인 사상에 사로잡혀 노파를 살해하고, 이후 죄의식과 불안감 속에서 벌어지는 심리적 갈등과 구원의 과정을 다룬다."
상실의 시대,무라카미 하루키,"연애 소설, 성장 소설","1960년대 일본을 배경으로 주인공 와타나베가 두 여성, 나오코와 미도리와의 관계 속에서 겪는 사랑과 상실, 죽음과 성장의 아픔을 섬세하게 그린 소설."
멋진 신세계,올더스 헉슬리,"디스토피아, SF 소설","과학 기술로 모든 것이 통제되고 인간은 인공 생산되며, 안정을 위해 진정한 자유와 감정이 제거된 미래 세계를 통해 현대 문명을 비판하는 소설."
인간실격,다자이 오사무,"사소설, 자전적 소설",주인공 요조가 순수한 내면과 위선적인 세상 사이의 괴리감 속에서 익살꾼으로 자신을 위장하며 살아가다 결국 파멸에 이르는 과정을 그린 자전적 소설.
1984,조지 오웰,"디스토피아, 정치 소설","전체주의 국가 오세아니아에서 모든 것을 감시하는 '빅 브라더'의 통제 아래, 주인공 윈스턴 스미스가 체제에 저항하며 겪게 되는 감시, 통제, 그리고 인간성 말살의 공포를 그린다."
동물농장,조지 오웰,"정치 풍자 소설, 우화","농장의 동물들이 인간을 내쫓고 평등한 사회를 건설하지만, 결국 돼지라는 새로운 독재 계급 아래 더 억압적인 체제로 변질되는 과정을 통해 스탈린주의를 비판한다."
데미안,헤르만 헤세,"성장 소설, 교양 소설",주인공 싱클레어가 신비로운 친구 데미안의 인도로 기존의 선악 이분법적 세계를 벗어나 자기 자신을 찾아가는 내면적 성장 과정을 그린다.
수레바퀴 아래서,헤르만 헤세,"성장 소설, 사회 비판",명석한 소년 한스 기벤라트가 권위적인 학교와 사회의 억압 속에서 자신의 감성과 개성을 잃고 파멸해가는 과정을 통해 경직된 교육 제도를 비판한다.
페스트,알베르 카뮈,"철학 소설, 실존주의","알제리의 오랑 시에 페스트가 발병하자, 외부와 단절된 도시 속에서 재앙에 맞서 연대하는 인간들의 다양한 모습을 통해 부조리한 운명에 대한 저항 정신을 탐구한다."
변신,프란츠 카프카,"실존주의, 부조리극","평범한 외판원 그레고르 잠자가 어느 날 아침 거대한 벌레로 변한 자신을 발견하고, 가족과 사회로부터 소외되어 죽음에 이르는 과정을 통해 현대인의 고독과 소외를 그린다."
성,프란츠 카프카,"철학 소설, 미완성 소설","측량사 K가 정체불명의 성에 들어가려 하지만, 미로처럼 복잡하고 관료적인 성의 시스템에 의해 끊임없이 좌절하며 목적을 이루지 못하는 부조리한 상황을 묘사한다."
앵무새 죽이기,하퍼 리,"성장 소설, 법정 드라마","1930년대 미국 남부의 인종차별 문제를 어린 소녀 스카웃의 시선으로 그리며, 사회적 편견과 불의에 맞서는 변호사 아버지 애티커스 핀치의 모습을 담아낸다."
노인과 바다,어니스트 헤밍웨이,"소설, 모험",84일 동안 고기를 잡지 못한 늙은 어부 산티아고가 거대한 청새치를 낚기 위해 벌이는 고독하고 치열한 사투를 통해 인간의 존엄성과 불굴의 의지를 보여준다.
분노의 포도,존 스타인벡,"사회 소설, 리얼리즘","대공황 시기, 가뭄과 경제난으로 오클라호마의 농지를 잃은 조드 일가가 캘리포니아로 이주하며 겪는 고난과 착취, 그리고 그 속에서 피어나는 인간애와 연대를 그린다."
모비 딕,허먼 멜빌,"모험 소설, 해양 문학",에이해브 선장이 자신의 다리를 앗아간 거대한 흰 고래 모비 딕에게 복수하기 위해 광기 어린 추적을 벌이는 과정을 통해 인간의 집착과 자연의 위대함을 탐구한다.
주홍 글씨,너새니얼 호손,"역사 소설, 로맨스","17세기 청교도 사회인 뉴잉글랜드를 배경으로, 간통죄를 짓고 가슴에 주홍 글씨 'A'를 새긴 여인 헤스터 프린의 고통과 위선을 통해 죄와 구원의 문제를 다룬다."
오만과 편견,제인 오스틴,"연애 소설, 사회 풍자","19세기 영국을 배경으로, 오만해 보이는 남자 다아시와 편견에 사로잡힌 여자 엘리자베스가 서로의 진심을 알아가며 사랑에 빠지는 과정을 섬세하게 그린 소설."
제인 에어,샬럿 브론테,"로맨스, 성장 소설","불우한 환경에서 자란 고아 제인 에어가 역경을 딛고 가정교사로 일하며 독립적인 여성으로 성장하고, 주인인 로체스터와 신분과 관습을 뛰어넘는 사랑을 이루는 이야기."
폭풍의 언덕,에밀리 브론테,"고딕 소설, 비극","황량한 폭풍의 언덕을 배경으로, 캐서린과 히스클리프의 격정적이고 파괴적인 사랑과 복수를 세대에 걸쳐 그려낸 비극적인 로맨스 소설."
프랑켄슈타인,메리 셸리,"고딕 소설, SF","과학자 빅터 프랑켄슈타인이 생명 창조의 비밀을 알아내고 시체로 피조물을 만들지만, 흉측한 외모 때문에 버림받은 피조물이 창조주에게 복수하는 과정을 그린다."
